Type,site,descrip,date,O,H
Well,1,Kat's well,16-Jun,-18.86,-146.9
River,2,Columbia River @ Parson Bridge,14-Jun,-19.95,-152
River,3,Columbia River @ Spilli Bridge,06-Jun,-19.93,-152.36
Wetland,4,large lake south of Nicholson,15-Jun,-17.48,-139.6
Wetland,5,`,15-Jun,-19.4,-149.65
Wetland,6,Middle of 2 channels,15-Jun,-18.8,-146.73
Wetland,9,Columbia Valley Lodge,14-Jun,-18.03,-144.08
Wetland,16,south off west side of Parsons Rd,14-Jun,-19.87,-151.52
Wetland,21,just after Castledale big with Lilys,06-Jun,-16.89,-136.35
Wetland,24,before Castledale w of RR by Rd,06-Jun,-19.96,-152.64
Wetland,27,after Spilli,06-Jun,-19.98,-152.56
Wetland,29,,06-Jun,-18.58,-147
Wetland,30,Downstream of Spilli bridge,06-Jun,-20.04,-152.21
Wetland,31,Galbraith's lake,08-Jun,-17.68,-141.24
Wetland,35,Brisco mill,04-Jun,-14.2,-126.46
Wetland,36,south of Brisco mill,04-Jun,-20.34,-154.56
River,37,Columbia River Bridge @ Brisco ,04-Jun,-20.44,-155.23
Wetland,38,Thresher's,04-Jun,-12.14,-117.12
Wetland,39,Frog reintroduction site,05-Jun,-17.77,-143.14
Wetland,40,bridge pond-Bottom of my land,04-Jun,-19.95,-152.29
,41,Across from Halverson's,N,-17.87,-142.08
Wetland,43,Luxor road,15-Jun,-18.61,-144.21
Wetland,44,,14-Jun,-19.57,-148.71
Wetland,46,,14-Jun,-18.48,-146.15
Wetland,47,Taggert east of RR,09-Jun,-19.09,-149.09
Wetland,48,Taggert west  of RR,09-Jun,-8.16,-99.12
Wetland,49,Radium mill,15-Jun,-13.7,-124.54
Wetland,50,Downstream of Radium mill,09-Jun,-19.44,-149.22
Wetland,51,"Suzanne's favorite, Wilmer marsh Ritchie Pt",05-Jun,-20.05,-151.57
Wetland,59,south of Spilli Rd westside,06-Jun,-19.99,-152.53
Wetland,62,Upstream of Spilli turn-off took new one,08-Jun,-12.42,-119.8
Wetland,63,Opposite Galena Cr on W side of river ,09-Jun,-12.26,-118.24
Wetland,64,N of Highway 95 rest area,09-Jun,-19.1,-148.5
Wetland,65,Moore's bridge,14-Jun,-19.95,-152.51
Wetland,67,,14-Jun,-20.42,-153.73
Wetland,68,Feldmans drained slough,09-Jun,-19.88,-151.59
Wetland,70,Halverson's,14-Jun,-19.42,-150.28
Wetland,71,"""elk"" pond",04-Jun,-19.28,-149.32
Wetland,73,small drained  mid river,06-Jun,-20.2,-153.88
Wetland,76,Capilo,14-Jun,-17.63,-139.16
Wetland,80,small drained just south of 2nd Radium bridge,15-Jun,-20.69,-156.54
Lake,81,Columbia Lake,04-Jun,-16.09,-131.2
Spring,82,Canal Flats springs,04-Jun,-19.55,-146.86
River,83,Dutch Creek,12-Jun,-20.6,-153.26
Wetland,84,Reflection Lake Golden,15-Jun,-8.53,-99.4
Well,85,Rollins Spring/café,12-Jun,-19.68,-152.71
Spring,86,Galbraith Spring,26-Jun,-18.91,-145.39
Spring,87,Columbia Estates spring,04-Jun,-19.21,-149.2
Spring,92,Nola GW well/house,12-Jun,-19.42,-150.38
Well,93,gerhardt lepp well,12-Jun,-19.33,-148.81
Well,94,Feldmann well on Westside Rd,12-Jun,-15.91,-133.78
River,95,CR  @ Radium main channel,15-Jun,-20.32,-152.53
River,96,CR at Althamere  Bridge,14-Jun,-18.32,-142.78
River,97,CR @ Fairmont Bridge,12-Jun,-19.78,-150.45
Spring,98,Bayley Spring,23-Jun,-19.01,-147.56
Spring,99,Kats spring,16-Jun,-19.28,-148.42
Well,100,Bayley well,13-Jun,-20.95,-163.22
Wetland,101,Sulfur pond-,04-Jun,-13.17,-124.98
Glacier,103,Commander Glacier,19-Jul,-20.61,-153.23
Wetland,104,Morrow site on Wilmer wetland,11-Jun,-16.5,-137
River,105,CR @ Nicholson Bridge (E side),15-Jun,-20.07,-153.44
,21A,after Castledale from Rd walked down,06-Jun,-17.3,-138.08
