O18,id,H2
-16.75146675,rain,-129.876
-16.75146675,rain,-129.876
-16.75146675,rain,-129.876
-16.48011398,rain,-127.9496
-16.39213181,rain,-127.4145
-17.24243546,rain,-133.5344
-18.08826065,rain,-139.6458
-18.02106667,rain,-139.219
-18.02106667,rain,-139.219
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.58708382,rain,-128.9558
-16.58708382,rain,-128.9558
-16.58708382,rain,-128.9558
-17.07956696,rain,-132.5566
-16.58708382,rain,-128.9558
-16.58708382,rain,-128.9558
-16.26758385,rain,-126.797
-16.62987137,rain,-129.3074
-16.95277786,rain,-131.7135
-16.26758385,rain,-126.797
-16.26758385,rain,-126.797
-16.3116436,rain,-127.1731
-16.26758385,rain,-126.797
-16.3116436,rain,-127.1731
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.35132599,rain,-127.2495
-16.62987137,rain,-129.3074
-16.62987137,rain,-129.3074
-16.35132599,rain,-127.2495
-16.58708382,rain,-128.9558
-16.58708382,rain,-128.9558
-16.61155128,rain,-129.063
-16.3116436,rain,-127.1731
-16.26758385,rain,-126.797
-16.21247482,rain,-126.0628
-16.58708382,rain,-128.9558
-16.3116436,rain,-127.1731
-15.0453701,rain,-118.8137
-15.0453701,rain,-118.8137
-15.0453701,rain,-118.8137
-14.7801857,rain,-116.9435
-14.67682266,rain,-116.2577
-15.48969364,rain,-122.0545
-16.29652405,rain,-127.7421
-16.22946358,rain,-127.335
-16.22946358,rain,-127.335
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.85247612,rain,-117.6069
-14.85247612,rain,-117.6069
-14.85247612,rain,-117.6069
-15.32026482,rain,-120.9684
-14.85247612,rain,-117.6069
-14.85247612,rain,-117.6069
-14.53625107,rain,-115.4505
-14.89299393,rain,-117.9413
-15.19524574,rain,-120.1364
-14.53625107,rain,-115.4505
-14.53625107,rain,-115.4505
-14.57644367,rain,-115.7928
-14.53625107,rain,-115.4505
-14.57644367,rain,-115.7928
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.62047482,rain,-115.9335
-14.89299393,rain,-117.9413
-14.89299393,rain,-117.9413
-14.62047482,rain,-115.9335
-14.85247612,rain,-117.6069
-14.85247612,rain,-117.6069
-14.87566471,rain,-117.7127
-14.57644367,rain,-115.7928
-14.53625107,rain,-115.4505
-14.51597023,rain,-115.068
-14.85247612,rain,-117.6069
-14.57644367,rain,-115.7928
-19.58996,River,-149.1251
-19.55869,River,-149.6302
-19.15837,River,-147.3816
-14.51972,River,-126.6
-10.47895,River,-108.5649
-17.9189,River,-140.5873
-19.1641,River,-147.4011
-18.81549,River,-145.46
-19.83523,Groundwater,-151.2008
-18.92477,Groundwater,-144.8429
-19.48749,Groundwater,-148.8478
-19.64776,Groundwater,-149.6679
-19.17672,Groundwater,-146.622
-19.04072,Groundwater,-146.605
-17.91612,Groundwater,-143.8668
-19.27426,Groundwater,-150.1746
-19.03876,Groundwater,-147.7343
-16.046,Groundwater,-135.7334
-19.06686,Groundwater,-146.0518
-19.34744,Groundwater,-147.399
-20.71687,Groundwater,-161.565
-22.42036,Groundwater,-171.2321
-19.73626518,marsnow,-154.4837
-19.73626518,marsnow,-154.4837
-19.73626518,marsnow,-154.4837
-19.4738636,marsnow,-152.6311
-19.43062592,marsnow,-152.4318
-20.29627037,marsnow,-158.58
-21.16243362,marsnow,-164.7215
-21.09597588,marsnow,-164.2854
-21.09597588,marsnow,-164.2854
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.65081406,marsnow,-154.0928
-19.65081406,marsnow,-154.0928
-19.65081406,marsnow,-154.0928
-20.16782379,marsnow,-157.841
-19.65081406,marsnow,-154.0928
-19.65081406,marsnow,-154.0928
-19.33057594,marsnow,-151.8991
-19.68669319,marsnow,-154.3592
-20.03939819,marsnow,-156.9735
-19.33057594,marsnow,-151.8991
-19.33057594,marsnow,-151.8991
-19.36455727,marsnow,-152.1591
-19.33057594,marsnow,-151.8991
-19.36455727,marsnow,-152.1591
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.42878151,marsnow,-152.5338
-19.68669319,marsnow,-154.3592
-19.68669319,marsnow,-154.3592
-19.42878151,marsnow,-152.5338
-19.65081406,marsnow,-154.0928
-19.65081406,marsnow,-154.0928
-19.6827774,marsnow,-154.2968
-19.36455727,marsnow,-152.1591
-19.33057594,marsnow,-151.8991
-19.21721077,marsnow,-150.8886
-19.65081406,marsnow,-154.0928
-19.36455727,marsnow,-152.1591
