Site number,Site type,Easting,Northing,Spring_EI,Summer_EI,Fall_EI
2,River,524643,5656772,,,
3,River,544200,5639356,,,
4,Wetland,508765,5670042,0.05,0.087352206,0.077512515
5,Wetland,510074,5669625,,0.035385383,
6,Wetland,509418,5669160,0.338684774,0.052339897,0.188620229
9,Wetland,515082,5666300,0.027522815,0.087392313,0.147648063
16,Wetland,525002,5656741,0.184630788,0.019638794,0.115434227
21,Wetland,532535,5652873,0.107530127,0.104232514,0.097082499
24,Wetland,535422,5651111,0.078953659,0.022816005,0.031855018
27,Wetland,541432,5644074,,0.020883974,0.142599634
29,Wetland,543167,5641399,,0.071739463,0.457046588
30,Wetland,544030,5639666,1.456750873,0.014319285,0.094421013
31,Wetland,545913,5637403,0.264688806,0.087481003,0.067538661
32,Wetland,545543,5637069,0.124859215,,0.036055953
35,Wetland,550776,5630949,0.167412818,0.286345718,0.575544606
36,Wetland,551130,5630189,0.065012282,0.013871547,0.080207108
37,River,549892,5630542,,,
38,Wetland,550531,5628689,0.220265274,0.484323002,0.276231012
39,Wetland,555476,5623684,0.268477743,0.099938919,0.399278111
40,Wetland,550385,5629010,,0.020653103,0.067010247
41,Wetland,551673,5628055,,0.080199254,
43,Wetland,563287,5612893,0.509735048,0.043489925,0.280922829
44,Wetland,557678,5620027,,0.016461905,0.05752042
46,Wetland,559375,5618042,,0.071363846,0.270011621
47,Wetland,562874,5612685,0.494395825,0.052471092,1.778067089
48,Wetland,563443,5608264,0.182714439,1.606680702,1.91384144
49,Wetland,567072,5601686,0.299356213,0.333389155,0.322784508
50,Wetland,563526,5609698,,0.029062957,0.05203335
51,Wetland,567072,5601686,0.18546035,0.00876886,0.087491557
52,Wetland,544859,5639039,0.31106875,,
59,Wetland,543772,5638706,0.384772623,0.02000327,0.107197756
62,Wetland,544859,5639039,0.006292598,0.494191499,1.248554058
63,Wetland,544893,5637402,,0.487632304,0.562340486
64,Wetland,546804,5635861,,0.046440179,0.332846373
65,Wetland,556550,5620549,,0.022416791,0.043666172
67,Wetland,558030,5619271,,0.002726806,0.022234361
68,Wetland,545273,5635944,,0.019556338,0.03068705
70,Wetland,551389,5627697,0.559610526,0.039401143,0.221466129
71,Wetland,550149,5630945,0.069318144,0.040870765,0.225653572
73,Wetland,539633,5645997,,0.017335921,0.087410981
76,Wetland,568220,5598967,0.230660548,0.070461181,0.067022642
80,Wetland,563138,5608395,0.122430161,0.01,
81,Lake,580717,5566532,0.011431665,0.120241108,0.147561832
82,Spring,583348,5556946,,,
83,River,578436,5573872,,,
84,Wetland,503947,5681387,0.040097935,1.237799221,0.884724447
85,Well,544461,5639905,,,
86,Spring,546108,5638419,,,
87,Spring,579586,5566317,,,
88,Spring Pond,547360,5632400,,,
89,Spring Pond,552405,5630998,,,
90,Spring Pond,552420,5630891,,,
91,Spring Pond,536478,5539681,,,
92,Spring,544433,5640001,,,
93,Well,542937,5638661,,,
94,Well,503947,5681387,,,
95,River,563248,5608425,,,
96,River,569494,5596464,,,
97,River,580896,575229,,,
98,Spring,549479,5628676,,,
99,Spring,553001,5630529,,,
100,Well,549823,5629429,,,
101,Wetland,550412,5629249,,0.45848499,0.72145852
103,Glacier,533003,5586912,,,
104,Wetland,566883,5599369,0.16443996,0.15,0.121166321
105,River,506185,5676951,,,
106,Well,550397,5629216,,,
