,site,mriver,riversd,mgw,gwsd,mprecip,precipsd
1,4,0.419653689,0.144819092,0.301448845,0.139910845,0.278897466,0.057154585
2,5,0.787661223,0.133580406,0.131778576,0.12641467,0.080560202,0.039349173
3,6,0.687192802,0.150559994,0.189518923,0.143346313,0.123288275,0.048174339
4,9,0.515163981,0.165667995,0.295925712,0.161013391,0.188910307,0.054713681
5,16,0.822289076,0.128659952,0.1205926,0.122831175,0.057118324,0.031466421
6,21,0.276157496,0.11636888,0.377859414,0.117452836,0.34598309,0.061183867
7,24,0.827321789,0.128946509,0.12224116,0.122791004,0.050437051,0.028779314
8,27,0.828205986,0.129138509,0.121196843,0.122904244,0.050597171,0.028354869
9,29,0.616589036,0.168060827,0.259170538,0.160175238,0.124240426,0.048479063
10,30,0.833996224,0.127863309,0.114719884,0.12236737,0.051283893,0.028428593
11,31,0.363816037,0.144896074,0.402581786,0.144518774,0.233602177,0.060530032
12,36,0.853488618,0.134197833,0.107409605,0.129570482,0.039101777,0.023110869
13,38,0.031524766,0.018034405,0.309713904,0.037609131,0.65876133,0.038217799
14,39,0.36136824,0.151147427,0.439608893,0.152598803,0.199022867,0.061505127
15,40,0.599943454,0.203583232,0.348896238,0.1946323,0.051160307,0.02919015
16,43,0.390505163,0.158723252,0.467470338,0.152987205,0.142024499,0.05481545
17,44,0.639002935,0.170524005,0.288392743,0.16301996,0.072604322,0.035971409
18,46,0.605671198,0.166409195,0.252865532,0.159032347,0.14146327,0.050141165
19,47,0.678784451,0.161049798,0.233641897,0.151727706,0.087573653,0.04017935
20,48,0.012544985,0.007270463,0.436253547,0.339706382,0.551201468,0.339124126
21,49,0.041936998,0.023993187,0.455177857,0.059485039,0.502885145,0.059008538
22,50,0.652737944,0.169790621,0.273418325,0.160747472,0.073843731,0.036678792
23,51,0.835414182,0.127106702,0.110775256,0.121297057,0.053810563,0.030044659
24,59,0.840424902,0.126930769,0.108258445,0.12133586,0.051316653,0.029037831
25,62,0.036560091,0.021658898,0.298905493,0.040752713,0.664534416,0.040403653
26,63,0.046059818,0.027051901,0.200716185,0.032574192,0.753223997,0.035160926
27,64,0.660657275,0.164317208,0.248268756,0.155945829,0.091073968,0.041725719
28,65,0.820169623,0.13013662,0.128949024,0.124884244,0.050881353,0.028142454
29,67,0.853024168,0.134818587,0.106189503,0.129872897,0.040786329,0.023654302
30,68,0.786419908,0.141382368,0.158651541,0.134865179,0.054928551,0.03053327
31,70,0.750494955,0.147258203,0.177431069,0.140013296,0.072073975,0.036520556
32,71,0.767523701,0.137417744,0.147224988,0.12919157,0.085251311,0.040196036
33,73,0.851364695,0.129613557,0.105420384,0.124286035,0.043214921,0.025894744
34,76,0.206602069,0.106465179,0.567462594,0.116518529,0.225935337,0.069291629
35,80,0.877290559,0.171096504,0.091043969,0.167330765,0.031665472,0.019490811
36,104,0.146180349,0.077790274,0.543211428,0.097042843,0.310608222,0.073222131
